Pesticide Name,URL,Allowed or prohibited,Check name,Cas Number,Carcinogen,Cas name,ADI,General human health issues,Wesslings Tests?,AGQ Tests?
Athidathion,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2639.htm,Not approved,athidathion (Ref: G13006),19691-80-6,-,"O,O-diethyl S-[(5-methoxy-2-oxo-1,3,4-thiadiazol-3(2H)-yl)methyl] phosphorodithioate",-,No further information available,Tested,Tested
Azinphos-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/51.htm,Not approved,azinphos-methyl,86-50-0,Not carcinogenic,"O,O-dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] phosphorodithioate",0.005,No further information available,Tested,Tested
Aziprotryne,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/52.htm,Not approved,aziprotryne (Ref: C 7019),4658-28-0,-,"4-azido-N-(1-methylethyl)-6-(methylthio)-1,3,5-triazin-2-amine",-,No further information available,Tested,Tested
Bachmedesh,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2948.htm,Not approved,bachmedesh,172351-12-1,-,2-(diethylamino)ethyl 4-chloro-a-(1-methylethyl)benzeneacetate hydrochloride,-,No information available,Tested,Tested
Benfluralin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/62.htm,Approved,benfluralin (Ref: EL-110),1861-40-1,Carcinogenic,"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)benzenamine",0.005,"Possible liver, thyroid and kidney toxicant",Tested,Tested
Benfuracarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/63.htm,Not approved,benfuracarb,82560-54-1,Not carcinogenic,"2,3-dihydro-2,2-dimethyl-7-benzofuranyl 2-methyl-4-(1-methylethyl)-7-oxo-8-oxa-3-thia-2,4-diazadecanoate",0.01,No further information required,Tested,Tested
Bensulfuron-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/68.htm,Approved,bensulfuron-methyl (Ref: DPX F5384),83055-99-6,Not carcinogenic,"methyl 2-[[[[[(4,6-dimethoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]methyl]benzoate",0.2,Possible liver toxicant,Tested,Tested
Bensulide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/69.htm,Not approved,bensulide (Ref: R 4461),741-58-2,Not carcinogenic,"O,O-bis(1-methylethyl) S-[2-[(phenylsulfonyl)amino]ethyl] phosphorodithioate",-,Moderately toxicMay cause convulsions at high dosesMay cause respiratory problems,Tested,Tested
Benzoylprop-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1256.htm,Not approved,benzoylprop-ethyl (Ref: FX 2182 ),22212-55-1,-,"ethyl N-benzoyl-N-(3,4-dichlorophenyl)-DL-alaninate",-,Harmful if swallowed,Tested,Tested
Beta-Cypermethrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/75.htm,Not approved,beta-cypermethrin (Ref: OMS 3068),65731-84-2,Not carcinogenic,"cyano(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate",0.0016,Risk of serious damage to the eye,Tested,Tested
Beta-Endosulfan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3028.htm,Not approved,beta-endosulfan,33213-65-9,-,"3α,5aβ,6β,9β,9aβ-6,7,8,9,10,10-hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-oxideβ-Endosulfan",-,"Highly toxicMay cause headache, dizziness, nausea, vomiting, incoordination, tremor, mental confusion, hyperexcitable state",Tested,Tested
Bethoxazin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2712.htm,Not approved,bethoxazin (Ref: R 102622),163269-30-5,-,"3-benzo[β]thien-2-yl-5,6-dihydro-1,4,2-oxathiazine 4-oxide",-,No further infromation available,Tested,Tested
Bifenthrin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/78.htm,Approved,bifenthrin (Ref: FMC 54800),82657-04-3,Carcinogenic,"(2-methyl(1,1'-biphenyl)-3-yl)methyl (1R,3R)-rel-3-((1Z)-2-chloro-3,3,3-trifluoro-1-propenyl)-2,2-dimethylcyclopropanecarboxylate",0.015,May cause tremors and staggered gaitUSEPA - possible human carcinogen,Tested,Tested
Bis(2-Chloroethyl)Ether,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2714.htm,Not approved,bis(2-chloroethyl)ether,111-44-4,Carcinogen,bis(2-chloroethyl) ether, di-(2-chloroethyl) ether,-,Tested,Tested
Bithionol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2889.htm,Not approved,bithionol,97-18-7,-,"2,2'-thiobis(4,6-dichlorophenol)",Intravenous LD50 = 18.0 mg kg-1,May cause skin disordersToxic if ingestedMay cause diarrhea and fatigue,Tested,Tested
Brodifacoum,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/87.htm,Not approved,brodifacoum (Ref: WBA 8119),56073-10-0,Not carcinogenic,"3-[3-(4'-bromo[1,1'-biphenyl]-4-yl)-1,2,3,4-tetrahydro-1-naphthalenyl]-4-hydroxy-2H-1-benzopyran-2-one",-,Highly toxicIndirect anticoagulant - severe poisonings may lead to massive haemorrhaging,Tested,Tested
Bromofenoxim,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/92.htm,Not approved,bromofenoxim (Ref: C9122),13181-17-4,-,"3,5-dibromo-4-hydroxybenzaldehyde O-(2,4-dinitrophenyl)oxime",-,Harmful if swallowed,Tested,Tested
Bromophos-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/94.htm,Not approved,bromophos-ethyl (Ref: SHG-2225),4824-78-6,Not carcinogenic,"O-(4-bromo-2,5-dichlorophenyl) O,O-diethyl phosphorothioate",0.003,Possible respiratory toxicant,Tested,Tested
Bromopropylate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/95.htm,Not approved,bromopropylate (Ref: GS 19851),18181-80-1,Not carcinogenic,1-methylethyl 4-bromo-α-(4-bromophenyl)-α-hydroxybenzeneacetate,0.03,No further information available,Tested,Tested
Bromoxynil Butanoate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3067.htm,Approved,bromoxynil butanoate,3861-41-4,Carcinogenic,"2,6-dibromo-4-cyanophenyl butanoate",0.01,Possible liver toxicant,Tested,Tested
Bromuron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2642.htm,Not approved,bromuron (Ref: FL 173),3408-97-7,-,"3-(4-bromophenyl)-1,1-dimethylurea",-,No further information available,Tested,Tested
Bronopol,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/98.htm,Not approved,bronopol,52-51-7,Not carcinogenic,"2-bromo-2-nitropropane-1,3-diol",Intravenous LD50 = 37.4 mg kg-1,May cause contact dermatitisMay cause stomach lesions,Tested,Tested
Buprofezin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/100.htm,Approved,buprofezin (Ref: PP 618),69327-76-0,Carcinogenic,"2-((1,1-dimethylethyl)imino)tetrahydro-3-(1-methylethyl)-5-phenyl-4H-1,3,5-thiadiazin-4-one",0.01,No further information available,Tested,Tested
Butafenacil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1163.htm,Not approved,butafenacil (Ref: CGA 276854),134605-64-4,Not carcinogenic,"1,1-dimethyl-2-oxo-2-(2-propenyloxy)ethyl 2-chloro-5-[3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidinyl]benzoate",-,No further information available,Tested,Tested
Buthidazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2412.htm,Not approved,buthidazole (Ref: Vel-5026),55511-98-3,Not carcinogenic,"3-[5-(1,1-dimethylethyl)-1,3,4-thiadiazol-2-yl]-4-hydroxy-1-methyl-2-imidazolidinone",-,No further information available,Tested,Tested
Butonate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1674.htm,Not approved,butonate (Ref: ENT 20852),126-22-7,-,"2,2,2-trichloro-1-(dimethoxyphosphinyl)ethyl butanoate",-,Mutagenic potential,Tested,Tested
Butralin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/104.htm,Not approved,butralin (Ref: Amchem70-25),33629-47-9,Carcinogenic,"4-(1,1-dimethylethyl)-N-(1-methylpropyl)-2,6-dinitrobenzenamine",0.003,No further information available,Tested,Tested
Butylate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/105.htm,Not approved,butylate (Ref: R 1910),2008-41-5,Not carcinogenic,S-ethyl bis(2-methylpropyl)carbamothioate,-,No further information available,Tested,Tested
Cafenstrole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/858.htm,Not approved,cafenstrole (Ref: CH 900),125306-83-4,Not carcinogenic,"N,N-diethyl-3-[(2,4,6-trimethylphenyl)sulfonyl]-1H-1,2,4-triazole-1-carboxamide",0.003,No further information available,Tested,Tested
Carbamorph,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2722.htm,Not approved,carbamorph (Ref: MC 833),31848-11-0,-,4-morpholinylmethyl dimethylcarbamodithioate,-,No information available,Tested,Tested
Carbetamide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/117.htm,Approved,carbetamide (Ref: RP 11561),16118-49-3,Carcinogenic,(2R)-N-ethyl-2-[[(phenylamino)carbonyl]oxy]propanamide,0.06,Possible liver and thyroid toxicant,Tested,Tested
Carbofuran,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/118.htm,Not approved,carbofuran (Ref: OMS 864),1563-66-2,Not carcinogenic,"2,3-dihydro-2,2-dimethylbenzofuran-7-yl methylcarbamate",0.00015,"May cause testicular degenerationMay be fatal if swallowed, inhaled, or absorbed through skinEndocrine issues - Increase of progesterone, cortisol and estradiol levels",Tested,Tested
Carbon Dioxide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/119.htm,Approved,carbon dioxide,124-38-9,Not carcinogenic,carbon dioxide,None allocatated,Harmful by inhalationChronic exposure can produce adaptation as well as producing metabolic acidosis,Tested,Tested
Carbosulfan,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/121.htm,Not approved,carbosulfan (Ref: OMS 3022),55285-14-8,Not carcinogenic,"2,3-dihydro-2,2-dimethyl-7-benzofuranyl [(dibutylamino)thio]methylcarbamate",0.005,Impurites - N-nitrosodibutylamine - may be carcinogenic,Tested,Tested
Carboxazole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2725.htm,Not approved,carboxazole (Ref: SSH-42),55808-13-4,-,"methyl [5-(1,1-dimethylethyl)-3-isoxazolyl]carbamate",-,No information available,Tested,Tested
Carfentrazone-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/123.htm,Approved,carfentrazone-ethyl (Ref: F 8426),128639-02-1,Carcinogenic,"ethyl α,2-dichloro-5-(4-(difluoromethyl)-4,5-dihydro-3-methyl-5-oxo-1H-1,2,4-triazol-1-yl)-4-fluorobenzenepropanoate",0.03,Possible liver & kidney toxicant,Tested,Tested
Carpropamid,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1019.htm,Not approved,carpropamid (Ref: KTU 3616),104030-54-8,-,"2,2-dichloro-N-[1-(4-chlorophenyl)ethyl]-1-ethyl-3-methylcyclopropanecarboxamide",0.03,Possible liver toxicant,Tested,Tested
Chlobenthiazone,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2647.htm,Not approved,chlobenthiazone (Ref: S1901),63755-05-5,-,"4-chloro-3-methyl-1,3-benzothiazol-2(3H)-one",-,No further information available,Tested,Tested
Chloranocryl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2727.htm,Not approved,chloranocryl (Ref: FMC 4556),2164-09-2,-,"N-(3,4-dichlorophenyl)-2-methyl-2-propenamide",-,No information available,Tested,Tested
Chlorbicyclen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2729.htm,Not approved,chlorbicyclen (Ref: Hercules 426),2550-75-6,-,"1,2,3,4,7,7-hexachloro-5,6-bis(chloromethyl)bicyclo[2.2.1]hept-2-ene",-,"Exposure may cause deadache, dizziness, nausea and vomitingHigh doses may cause convulsions, seizures, coma and respiratory depression",Tested,Tested
Chlorbufam,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/133.htm,Not approved,chlorbufam,1967-16-4,Not carcinogenic,1-methyl-2-propynyl (3-chlorophenyl)carbamate,-,No further information available,Tested,Tested
Chlordane,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/134.htm,Not approved,chlordane (Ref: OMS 1437),57-74-9,Carcinogenic,"1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",0.0005,May cause mental confusion and convulsionsIARC Group 2B carcinogenPossible liver & kidney toxicantEndocrine issues - Competitive binding to androgen receptors,Tested,Tested
Chloretazate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1561.htm,Not approved,chloretazate,81051-65-2,-,"2-(4-chlorophenyl)-1-ethyl-1,4-dihydro-6-methyl-4-oxo-3-pyridinecarboxylic acid",-,No further information available,Tested,Tested
Chlorfenson,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/137.htm,Not approved,chlorfenson (Ref: K 6451),80-33-1,-,4-chlorophenyl 4-chlorobenzenesulfonate,0.01,Harmful if swallowedPossible kidney toxicant,Tested,Tested
Chlorfluren Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2416.htm,Not approved,chlorfluren methyl,22909-50-8,-,methyl 2-chloro-9H-fluorene-9-carboxylate,-,No information available,Tested,Tested
Chlorimuron-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1145.htm,Not approved,chlorimuron-ethyl (Ref: DPX F6025),90982-32-4,Not carcinogenic,ethyl 2-[[[[(4-chloro-6-methoxy-2-pyrimidinyl)amino]carbonyl]amino]sulfonyl]benzoate,0.02,Slightly toxicPossible liver toxicant,Tested,Tested
Chlormequat Chloride,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/143.htm,Approved,chlormequat chloride (Ref: BAS 062W),999-81-5,Not carcinogenic,"2-chloro-N,N,N-trimethylethanaminium chloride",0.04,Highly toxic,Tested,Tested
Chlorobenzilate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/144.htm,Not approved,chlorobenzilate (Ref: ENT 18596),510-15-6,Not carcinogenic,ethyl 4-chloro-α-(4-chlorophenyl)-a-hydroxybenzeneacetate,0.02,IARC Group 3 carcinogen,Tested,Tested
Chlorothalonil,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/150.htm,Approved,chlorothalonil (Ref: DS 2787),1897-45-6,Carcinogen,"2,4,5,6-tetrachloro-1,3-benzenedicarbonitrile",0.015,"May cause contact dermatitisIARC group 2B carcinogen; USEPA - probable human carcinogen, formation of tumours shown to form in mice following ingestionEndocrine issues - Activation of androgen-sensitive cells proliferation",Tested,Tested
Chlorotoluron,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/151.htm,Approved,chlorotoluron (Ref: C 2242),15545-48-9,Carcinogen,"N'-(3-chloro-4-methylphenyl)-N,N-dimethylurea",0.04,Kidney and liver tumors have been observed in Mouse at high doses,Tested,Tested
Chlorpyrifos-Methyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/155.htm,Approved,chlorpyrifos-methyl (Ref: OMS 1155),5598-13-0,Not carcinogenic,"O,O-dimethyl O-(3,5,6-trichloro-2-pyridinyl) phosphorothioate",0.01,Suspected cardiovascular & blood toxicantHighly toxic by ingestionSome studies indicate a link between chlorpyrifos metabolites and learning difficulties in childrenEndocrine issues - Antagonist to androgen activity,Tested,Tested
Chlorquinox,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2736.htm,Not approved,chlorquinox,3495-42-9,-,"5,6,7,8-tetrachloroquinoxaline",-,No information available,Tested,Tested
Chlorthal-Dimethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/157.htm,Not approved,chlorthal-dimethyl (Ref: DAC 893),1861-32-1,Carcinogenic,"dimethyl 2,3,5,6-tetrachloro-1,4-benzenedicarboxylate",0.01,"Possible liver, thyroid & lung toxicantUSEPA - possible human carcinogen",Tested,Tested
Chlorthion,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1476.htm,No applicable,chlorthion (Ref: BAY 22/190 ),500-28-7,-,"O,O-dimethyl-O-(3-chloro-4-nitrophenyl)-phosphorothioate",None allocated,No further information available,Tested,Tested
Chlozolinate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/159.htm,Not approved,chlozolinate (Ref: M 8164),84332-86-5,Carcinogenic,"ethyl 3-(3,5-dichlorophenyl)-5-methyl-2,4-dioxo-5-oxazolidinecarboxylate",0.1,No further information available,Tested,Tested
Cinidon-Ethyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/162.htm,Not approved,cinidon-ethyl (Ref: BAS 615H),142891-20-1,Carcinogenic,"ethyl (2Z)-2-chloro-3-[2-chloro-5-(1,3,4,5,6,7-hexahydro-1,3-dioxo-2H-isoindol-2-yl)phenyl]-2-propenoate",0.01,No further information available,Tested,Tested
Ciobutide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2418.htm,Not approved,ciobutide,80544-75-8,-,α-cyano-α-ethylbenzeneacetamide,-,No information available,Tested,Tested
Cliodinate,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2738.htm,Not approved,cliodinate (Ref: ASD 2288),69148-12-5,-,"2-chloro-3,5-di-iodo-4-pyridinyl acetate",-,No information available,Tested,Tested
Clodinafop-Propargyl,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/165.htm,Approved,clodinafop-propargyl (Ref: CGA 184927),105512-06-9,Carcinogen,2-propynyl (2R)-2-(4-((5-chloro-3-fluoro-2-pyridinyl)oxy)phenoxy)propanoate,0.003,"Possible ovaries, prostrate and blood toxicant",Tested,Tested
Cloethocarb,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1592.htm,Not approved,cloethocarb (Ref: BAS 263I),51487-69-5,-,2-(2-chloro-1-methoxyethoxy)phenyl methylcarbamate,-,"May cause asthma, diabetes, cardiovascular diseaseGastrointestinal toxicant",Tested,Tested
Clomeprop,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1683.htm,Not approved,clomeprop (Ref: MY-15),84496-56-0,-,"2-(2,4-dichloro-3-methylphenoxy)-N-phenylpropanamide",-,No further information available,Tested,Tested
Cloxyfonac,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/877.htm,Not approved,cloxyfonac,6386-63-6,Carcinogenic,4-chloro-a-hydroxy-o-tolyloxyacetic acid,-,"Probably kidney toxicantMay cause headache, vomiting and diarrhea",Tested,Tested
Crotamiton,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2549.htm,Not approved,crotamiton,483-63-6,Not carcinogenic,(2E)-N-ethyl-N-(2-methylphenyl)-2-butenamide,1630,Absorbed systemically through the skinMay cause an allergic skin reaction,Tested,Tested
Cyclaniliprole,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2632.htm,Not approved,cyclaniliprole (Ref: IKI-3106),1031756-98-5,Carcinogenic,3-bromo-N-(2-bromo-4-chloro-6-(((1-cyclopropylethyl)amino)carbonyl)phenyl)-1-(3-chloro-2-pyridinyl)-1H-pyrazole-5-carboxamide,0.005,"Possible liver, thyroid and testis toxicant",Tested,Tested
Cycloheximide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1680.htm,Not approved,cycloheximide,66-81-9,Carcinogenic,"4-{(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl}piperidine-2,6-dione",-,Highly toxicBone marrow toxicant,Tested,Tested
Cyflumetofen,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/1143.htm,Approved,cyflumetofen (Ref: OK-5101),400882-07-7,Carcinogenic,"2-methoxyethyl α-cyano-α-[4-(1,1-dimethylethyl)phenyl]-β-oxo-2-(trifluoromethyl)benzenepropanoate",0.17,USEPA - some evidence to suggest possible human carcinogen,Tested,Tested
Cyhalodiamide,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/3154.htm,Not approved,cyhalodiamide (Ref: ZJ4042),1262605-53-7,-,"3-chloro-N2-(1-cyano-1-methylethyl)-N1-(2-methyl-4-(1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl)phenyl)-1,2-benzenedicarboxamide",-,No information available,Tested,Tested
Cyhexatin,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/195.htm,Not approved,cyhexatin (Ref: OMS 3029),13121-70-5,-,tricyclohexyltin hydroxide,0.003,Highly toxic,Tested,Tested
Cyperquat Chloride,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2882.htm,Not approved,cyperquat chloride,39794-99-5,-,1-methyl-4-phenylpyridinium chloride,-,CNS toxicantReduces dopamine levelsHighly toxic,Tested,Tested
Cyprazine,https://sitem.herts.ac.uk/aeru/ppdb/en/Reports/2750.htm,Not approved,cyprazine (Ref: S 6115),22936-86-3,-,"6-chloro-N-cyclopropyl-N��-(1-methylethyl)-1,3,5-triazine-2,4-diamine",-,May cause lung damage and respiration problems if inhaled,Tested,Tested
